particle,pdg_name,mass_GeV,err_plus_GeV,err_minus_GeV
up quark,u,0.00216,7e-05,7e-05
down quark,d,0.0047,7e-05,7e-05
strange quark,s,0.0929,0.0007,0.0007
charm quark,c,1.2729,0.0045,0.0045
bottom quark,b,4.186,0.006,0.006
top quark,t,172.6035595874743,0.2713750020275726,0.273047806741856
electron,e-,0.0005109989506900001,1.5999999999999997e-13,1.5999999999999997e-13
muon,mu-,0.1056583755,2.3e-09,2.3e-09
tau,tau-,1.77693246513409,8.491495391323054e-05,8.758019173411407e-05
W boson,W+,80.3625,0.0077,0.0077
Z boson,Z0,91.18787329722134,0.00196689903262915,0.00196689903262915
Higgs boson,H,125.1309438281615,0.111721447765488,0.111721447765488
proton,p,0.9382720894300001,2.9e-10,2.9e-10
neutron,n,0.9395654219399999,4.8e-10,4.8e-10
pion (charged),pi+,0.13957039098368132,1.8200716040826008e-07,1.8200716040826008e-07
pion (neutral),pi0,0.1349768277676847,4.856792822842335e-07,4.856792822842335e-07
kaon (charged),K+,0.4936765994580406,1.540566522607151e-05,1.540566522607151e-05
kaon (neutral),K0,0.4976107675312575,1.2990199756424202e-05,1.2990199756424202e-05
Lambda,3122,1.115683138712051,6.437637778621986e-06,6.437637778621986e-06
